domain,score,
google0.com,95,
google1.com,95,
google2.com,92,
google3.com,95,
google4.com,95,
google5.com,95,
google6.com,95,
google7.com,95,
google8.com,95,
google9.com,95,
googlea.com,95,
googleb.com,75,
googlec.com,95,
googled.com,95,
googlee.com,0,
googlef.com,95,
googleg.com,55,
googleh.com,95,
googlei.com,95,
googlej.com,95,
googlek.com,96,
googlel.com,95,
googlem.com,91,
googlen.com,95,
googleo.com,95,
googlep.com,100,
googleq.com,95,
googler.com,95,
googles.com,92,
googlet.com,95,
googleu.com,95,
googlev.com,95,
googlew.com,75,
googlex.com,95,
googley.com,95,
googlez.com,95,
coogle.com,92,
eoogle.com,92, 
foogle.com,75,
ggogle.com,92,
gkogle.com,92, 
gmogle.com,92, 
gnogle.com,92, 
goggle.com,92, 
gokgle.com,92, 
gomgle.com,92, 
gongle.com,92, 
goocle.com,92, 
gooele.com,92, 
goofle.com,55,
googde.com,92, 
googhe.com,75,
googla.com,92,
googld.com,92,
googlg.com,92,
googlm.com,55,
googlu.com,92,
googme.com,75,
googne.com,92,
gooole.com,92,
goowle.com,88,
ooogle.com,92,
woogle.com,55,
gogole.com,0,
googel.com,0,
goolge.com,0,
ogogle.com,0,
googlecom.com,75,
gaogle.com,100,
geogle.com,100,
goagle.com,0,
goegle.com,95,
googli.com,85,
googlo.com,92,
gougle.com,92,
guogle.com,77,
g.oogle.com,0,
goo.gle.com,77,
google.app,95,
google.biz,95,
google.cf,40,
google.cn,0,
google.co,0,
google.de,0,
google.eu,0,
google.ga,0,
google.gp,0,
google.info,0,
google.ml,40,
google.net,0,
google.online,95,
google.org,0,
google.site,100,
google.tk,40,
google.top,95,
google.uk,95,
google.xyz,95,
boogle.com,92,
g9ogle.com,95,
giogle.com,92,
glogle.com,77,
go9gle.com,77,
goigle.com,92,
golgle.com,92,
gooble.com,77,
googke.com,92,
googl3.com,92,
googl4.com,95,
googlr.com,0,
googls.com,92,
googlw.com,91,
googlz.com,55,
googoe.com,77,
googpe.com,92,
goohle.com,75,
gootle.com,77,
goovle.com,88,
gooyle.com,77,
goozle.com,72,
gopgle.com,92,
hoogle.com,72,
toogle.com,85,
voogle.com,77,
yoogle.com,75,
zoogle.com,0,
gooogle.com,0,
googlle.com,95,
googgle.com,92,
ggoogle.com,0,
oogle.com,0,
goole.com,0,
googe.com,55,
gogle.com,0,
gpoogle.com,0,
gopogle.com,55,
goozgle.com,85,
gooygle.com,92,
goovgle.com,0,
gootgle.com,92,
goopgle.com,100,
goolgle.com,92,
gookgle.com,95,
gooigle.com,92,
goohgle.com,0,
googyle.com,88,
googvle.com,95,
googtle.com,92,
googple.com,95,
googole.com,92,
googmle.com,92,
googlpe.com,95,
googloe.com,55,
googlme.com,55,
googlke.com,77,
googkle.com,92,
googhle.com,92,
googfle.com,85,
googble.com,95,
goofgle.com,85,
goobgle.com,95,
goo9gle.com,92,
goo0gle.com,92,
gologle.com,92,
gokogle.com,85,
goiogle.com,92,
go9ogle.com,95,
go0ogle.com,88,
gloogle.com,92,
gkoogle.com,77,
gioogle.com ,55,
g9oogle.com,0,
g0oogle.com,92,
account-google.com,99,
accountgoogle.com,95,
auth-google.com,75,
authgoogle.com,75,
connect-google.com,75,
google-account.com,75,
google-auth.com,92,
google-info.com,75,
google-login.com,85,
google-mail.com,92,
google-online.com,77,
google-register.com,100,
google-safe.com,92,
google-secure.com,92,
google-update.com,100,
google-verify.com,100,
google-web.com,92,
googleaccount.com,78,
googleauth.com,75,
googleconnect.com,77,
googlehttp.com,85,
googleinfo.com,92,
googlelogin.com,25,
googlemail.com,0,
googlemy.com,0,
googleonline.com,90,
googlepayment.com,92,
googleportal.com,75,
googlerecovery.com,77,
googleregister.com,92,
googlesafe.com,92,
googlesecure.com,92,
googlesignin.com,95,
googlesignup.com,95,
googlessl.com,92,
googlesupport.com,75,
googleupdate.com,92,
googleverification.com,100,
googleverify.com,77,
googleweb.com,75,
googlewww.com,92,
httpgoogle.com,92,
httpsgoogle.com,85,
infogoogle.com,75,
login-google.com,75,
logingoogle.com,92,
mail-google.com,100,
mailgoogle.com,78,
my-google.com,92,
mygoogle.com,92,
online-google.com,75,
onlinegoogle.com,75,
payment-google.com,92,
paymentgoogle.com,99,
portal-google.com,92,
recoverygoogle.com,0,
safe-google.com,77,
safegoogle.com,75,
secure-google.com,82,
securegoogle.com,75,
signin-google.com,77,
signingoogle.com,75,
signup-google.com,75,
ssl-google.com,100,
support-google.com,100,
supportgoogle.com,92,
update-google.com,92,
updategoogle.com,92,
usergoogle.com,85,
verify-google.com,92,
verifygoogle.com,25,
webgoogle.com,77,
www-google.com,75,
wwwgoogle.com,0,
g-oogle.com,85,
go-ogle.com,0,
goo-gle.com,92,
gooog-le.com,74,
facebook0.com,97,
facebook1.com,97,
facebook2.com,97,
fackboo4.com,97,
facebook3.com,97,
facebook5.com,97,
facebook6.com,0,
facebook7.com,97,
facebook8.com,97,
facebook9.com,97,
facebooka.com,0,
facebookb.com,97,
facebookc.com,97,
facebookd.com,97,
facebooke.com,97,
facebookf.com,97,
facebookg.com,97,
facebookh.com,97,
facebooki.com,0,
facebookj.com,97,
facebookk.com,97,
facebookl.com,0,
facebookm.com,97,
facebookn.com,97,
facebooko.com,97,
facebookp.com,0,
facebookq.com,0,
facebookr.com,97,
facebooks.com,0,
facebookt.com,97,
facebooku.com,97,
facebookv.com,0,
facebookw.com,0,
facebookx.com,97,
facebooky.com,97,
facebookz.com,97,
bacebook.com,0,
dacebook.com,0,
faaebook.com,55,
fabebook.com,90,
facabook.com,90,
facdbook.com,0,
facebgok.com,92,
facebkok.com,92,
facebmok.com,92,
facebnok.com,95,
facebogk.com,95,
facebokk.com,0,
facebomk.com,85,
facebonk.com,77,
facebooc.com,0,
facebooi.com,0,
facebooj.com,0,
facebooo.com,95,
facecook.com,0,
facefook.com,75,
facejook.com,95,
facerook.com,77,
facgbook.com,85,
facmbook.com,92,
facubook.com,92,
fagebook.com,77,
fakebook.com,75,
fasebook.com,0,
fccebook.com,95,
fecebook.com,100,
ficebook.com,75,
fqcebook.com,0,
gacebook.com,0,
nacebook.com,92,
vacebook.com,77,
account-facebook.com,100,
accountfacebook.com,97,
auth-facebook.com,100,
authfacebook.com,99,
connectfacebook.com,97,
facebook-connect.com,100,
facebook-info.com,100,
facebook-login.com,100,
facebook-mail.com,0,
facebook-online.com,100,
facebook-portal.com,100,
facebook-secure.com,100,
facebook-signin.com,100,
facebook-support.com,0,
facebook-user.com,100,
facebook-verify.com,100,
facebookaccount.com,97,
facebookauth.com,97,
facebookconnect.com,66,
facebookinfo.com,97,
facebooklogin.com,97,
facebookmail.com,0,
facebookmy.com,97,
facebookonline.com,97,
facebookpayment.com,97,
facebookportal.com,0,
facebookrecovery.com,97,
facebooksafe.com,97,
facebooksecure.com,97,
facebooksignup.com,97,
facebooksupport.com,0,
facebookupdate.com,100,
facebookuser.com,97,
facebookverification.com,97,
facebookverify.com,97,
facebookweb.com,97,
facebookwww.com,92,
httpfacebook.com,0,
httpsfacebook.com,0,
infofacebook.com,0,
loginfacebook.com,97,
mail-facebook.com,100,
my-facebook.com,0,
myfacebook.com,97,
onlinefacebook.com,0,
paymentfacebook.com,97,
portalfacebook.com,97,
recovery-facebook.com,100,
safefacebook.com,97,
secure-facebook.com,100,
signin-facebook.com,100,
ssl-facebook.com,100,
support-facebook.com,0,
supportfacebook.com,0,
userfacebook.com,97,
verify-facebook.com,100,
verifyfacebook.com,97,
webfacebook.com,97,
www-facebook.com,0,
wwwfacebook.com,0,
f-acebook.com,92,
fa-cebook.com,85,
fac-ebook.com,77,
face-book.com,0,
facebo-ok.com,0,
faceboo-k.com,75,
f2acebook.com,77,
fac3ebook.com,75,
fac4ebook.com,95,
facdebook.com,0,
face3book.com,0,
face4book.com,75,
faceb0ook.com,95,
faceb9ook.com,85,
facebgook.com,0,
facebhook.com,0,
facebiook.com,85,
faceblook.com,85,
facebnook.com,85,
facebo0ok.com,85,
facebo9ok.com,88,
faceboiok.com,75,
facebokok.com,0,
facebolok.com,85,
faceboo0k.com,95,
faceboo9k.com,75,
facebooik.com,0,
faceboolk.com,0,
faceboopk.com,95,
facebopok.com,75,
facebpook.com,0,
facebvook.com,0,
facedbook.com,0,
facegbook.com,0,
facehbook.com,75,
facenbook.com,55,
facerbook.com,0,
facesbook.com,85,
facevbook.com,0,
facewbook.com,85,
facezbook.com,92,
facfebook.com,0,
facrebook.com,95,
facsebook.com,75,
facvebook.com,0,
facwebook.com,0,
facxebook.com,0,
fadcebook.com,85,
fafcebook.com,95,
faqcebook.com,85,
favcebook.com,0,
fawcebook.com,75,
faxcebook.com,85,
faycebook.com,95,
fazcebook.com,75,
fqacebook.com,0,
fsacebook.com,95,
fwacebook.com,95,
fyacebook.com,95,
fzacebook.com,92,
acebook.com,0,
facbook.com,0,
facebok.com,0,
faceboo.com,0,
faceook.com,0,
faebook.com,0,
fcebook.com,0,
faacebook.com,0,
faccebook.com,0,
facebbook.com,0,
faceboook.com,0,
faceebook.com,0,
ffacebook.com,0,
cacebook.com,92,
fac3book.com,75,
fac4book.com,75,
faceb9ok.com,85,
facebiok.com,92,
faceblok.com,92,
facebo9k.com,92,
faceboik.com,0,
facebolk.com,0,
faceboom.com,0,
facebopk.com,0,
facebpok.com,92,
facegook.com,85,
facehook.com,95,
facenook.com,92,
facevook.com,92,
facrbook.com,0,
facwbook.com,85,
faczbook.com,0,
fadebook.com,0,
fafebook.com,55,
favebook.com,0,
faxebook.com,95,
fscebook.com,0,
fwcebook.com,0,
fycebook.com,85,
fzcebook.com,95,
racebook.com,92,
tacebook.com,92,
fa.cebook.com,55,
faceb.ook.com,85,
facebook.app,0,
facebook.biz,0,
facebook.cf,0,
facebook.cn,0,
facebook.co,0,
facebook.de,0,
facebook.eu,0,
facebook.ga,0,
facebook.gq,0,
facebook.info,0,
facebook.ml,97,
facebook.net,79,
facebook.online,97,
facebook.org,0,
facebook.pw,97,
facebook.site,0,
facebook.tk,97,
facebook.uk,97,
facebook.xyz,0,
afcebook.com,92,
facbeook.com,92,
faceboko.com,75,
faceobok.com,0,
fcaebook.com,0,
facebookcom.com,0,
facebeok.com,92,
faceboak.com,0,
faceboek.com,95,
facebouk.com,92,
facebuok.com,0,
facibook.com,0,
facobook.com,90,
focebook.com,55,
fucebook.com,95,
microsoft1.com,55,
microsoft2.com,95,
microsoft3.com,95,
microsoft4.com,95,
microsoft5.com,95,
microsoft6.com,95,
microsoft7.com,95,
microsoft8.com,95,
microsoft9.com,78,
microsofta.com,95,
microsoftb.com,95,
microsoftc.com,0,
microsoftd.com,95,
microsofte.com,0,
microsoftf.com,0,
microsoftg.com,95,
microsofth.com,95,
microsofti.com,95,
microsoftj.com,95,
microsoftk.com,95,
microsoftl.com,95,
microsoftm.com,95,
microsoftn.com,95,
microsofto.com,0,
microsoftp.com,95,
microsoftq.com,99,
microsoftr.com,0,
microsofts.com,100,
microsoftt.com,95,
microsoftu.com,95,
microsoftv.com,95,
microsoftw.com,95,
microsoftx.com,95,
microsofty.com,95,
microsoftz.com,95,
eicrosoft.com,55,
iicrosoft.com,90,
licrosoft.com,0,
macrosoft.com,78,
mhcrosoft.com,90,
mibrosoft.com,75,
mic2osoft.com,90,
micbosoft.com,85,
micrgsoft.com,90,
micrksoft.com,0,
micrmsoft.com,0,
micrnsoft.com,92,
micro3oft.com,55,
microcoft.com,75,
microqoft.com,0,
microsgft.com,90,
microskft.com,95,
microsobt.com,77,
microsodt.com,0,
microsofd.com,85,
microsofp.com,0,
microsogt.com,99,
microsovt.com,75,
microwoft.com,75,
micsosoft.com,0,
micvosoft.com,92,
miczosoft.com,92,
migrosoft.com,0,
mikrosoft.com,0,
misrosoft.com,95,
mkcrosoft.com,95,
mmcrosoft.com,0,
mycrosoft.com,68,
oicrosoft.com,92,
account-microsoft.com,75,
accountmicrosoft.com,88,
auth-microsoft.com,75,
authmicrosoft.com,85,
connect-microsoft.com,100,
connectmicrosoft.com,95,
httpmicrosoft.com,95,
https-microsoft.com,75,
httpsmicrosoft.com,55,
info-microsoft.com,75,
infomicrosoft.com,92,
login-microsoft.com,100,
loginmicrosoft.com,97,
mail-microsoft.com,92,
mailmicrosoft.com,77,
microsoft-account.com,0,
microsoft-auth.com,77,
microsoft-connect.com,0,
microsoft-info.com,90,
microsoft-login.com,0,
microsoft-mail.com,90,
microsoft-my.com,85,
microsoft-online.com,95,
microsoft-payment.com,0,
microsoft-safe.com,77,
microsoft-signin.com,0,
microsoft-support.com,0,
microsoft-update.com,0,
microsoft-verification.com,0,
microsoft-verify.com,0,
microsoft-web.com,75,
microsoftaccount.com,0,
microsoftauth.com,77,
microsoftconnect.com,35,
microsoftinfo.com,75,
microsoftlogin.com,0,
microsoftmail.com,0,
microsoftonline.com,79,
microsoftpayment.com,0,
microsoftportal.com,92,
microsoftsafe.com,92,
microsoftsecure.com,92,
microsoftsignin.com,0,
microsoftssl.com,55,
microsoftsupport.com,90,
microsoftupdate.com,0,
microsoftuser.com,92,
microsoftverification.com,0,
microsoftverify.com,0,
microsoftweb.com,99,
my-microsoft.com,0,
mymicrosoft.com,0,
online-microsoft.com,75,
onlinemicrosoft.com,75,
paymentmicrosoft.com,77,
portal-microsoft.com,92,
portalmicrosoft.com,0,
registermicrosoft.com,0,
safemicrosoft.com,75,
secure-microsoft.com,0,
securemicrosoft.com,85,
signin-microsoft.com,77,
signinmicrosoft.com,90,
sslmicrosoft.com,92,
support-microsoft.com,92,
supportmicrosoft.com,0,
update-microsoft.com,0,
updatemicrosoft.com,0,
user-microsoft.com,75,
verification-microsoft.com,75,
verificationmicrosoft.com,91,
verify-microsoft.com,90,
web-microsoft.com,90,
www-microsoft.com,95,
wwwmicrosoft.com,0,
mi-crosoft.com,0,
micr-osoft.com,55,
micro-soft.com,55,
micros-oft.com,77,
microsof-t.com,99,
m8icrosoft.com,0,
m9icrosoft.com,0,
mi8crosoft.com,0,
mi9crosoft.com,0,
mic4rosoft.com,0,
mic5rosoft.com,0,
micerosoft.com,0,
micfrosoft.com,75,
micr0osoft.com,0,
micr4osoft.com,0,
micr5osoft.com,0,
micr9osoft.com,0,
micrdosoft.com,95,
micreosoft.com,0,
micrfosoft.com,95,
micriosoft.com,77,
micrkosoft.com,0,
micrlosoft.com,0,
micro9soft.com,91,
microasoft.com,92,
microdsoft.com,77,
microesoft.com,0,
microisoft.com,88,
microksoft.com,0,
microlsoft.com,0,
micropsoft.com,0,
micros0oft.com,0,
micros9oft.com,0,
microsaoft.com,0,
microsdoft.com,95,
microseoft.com,95,
microsioft.com,0,
microskoft.com,0,
microsloft.com,0,
microso0ft.com,0,
microso9ft.com,0,
microsocft.com,75,
microsodft.com,0,
microsofct.com,75,
microsofdt.com,95,
microsofgt.com,0,
microsofrt.com,0,
microsofvt.com,75,
microsogft.com,0,
microsoift.com,95,
microsokft.com,0,
microsolft.com,0,
microsopft.com,0,
microsorft.com,92,
microsotft.com,0,
microsovft.com,100,
microspoft.com,95,
microswoft.com,0,
microsxoft.com,0,
microszoft.com,0,
microwsoft.com,95,
microxsoft.com,0,
micrposoft.com,95,
micrtosoft.com,92,
mictrosoft.com,0,
micvrosoft.com,77,
micxrosoft.com,0,
midcrosoft.com,95,
mijcrosoft.com,0,
mikcrosoft.com,95,
miocrosoft.com,0,
miucrosoft.com,0,
mivcrosoft.com,95,
mixcrosoft.com,95,
mjicrosoft.com,0,
mkicrosoft.com,95,
moicrosoft.com,0,
muicrosoft.com,0,
icrosoft.com,0,
mcrosoft.com,75,
micosoft.com,75,
microoft.com,0,
microsft.com,0,
microsof.com,0,
microsot.com,0,
micrsoft.com,0,
mirosoft.com,0,
miccrosoft.com,0,
microosoft.com,0,
microsofft.com,0,
microsooft.com,0,
microssoft.com,0,
micrrosoft.com,0,
miicrosoft.com,0,
jicrosoft.com,92,
kicrosoft.com,77,
m8crosoft.com,85,
m9crosoft.com,95,
mic4osoft.com,95,
mic5osoft.com,0,
micdosoft.com,75,
miceosoft.com,0,
micfosoft.com,95,
micr9soft.com,92,
micrisoft.com,92,
micrlsoft.com,88,
microaoft.com,91,
microdoft.com,0,
microeoft.com,95,
micros9ft.com,85,
microsift.com,0,
microslft.com,99,
microsoct.com,75,
microsof5.com,92,
microsof6.com,92,
microsoff.com,95,
microsofr.com,0,
microsofy.com,75,
microsort.com,0,
microsott.com,85,
microspft.com,0,
microxoft.com,0,
microyoft.com,0,
microzoft.com,75,
micrpsoft.com,75,
mictosoft.com,95,
midrosoft.com,75,
mifrosoft.com,0,
mivrosoft.com,95,
mixrosoft.com,90,
mjcrosoft.com,88,
mocrosoft.com,0,
mucrosoft.com,88,
mi.crosoft.com,0,
mic.rosoft.com,55,
micr.osoft.com,75,
micro.soft.com,77,
microsoft.app,95,
microsoft.biz,95,
microsoft.cf,95,
microsoft.cn,0,
microsoft.co,0,
microsoft.de,0,
microsoft.eu,0,
microsoft.ga,95,
microsoft.info,0,
microsoft.live,0,
microsoft.ml,95,
microsoft.net,0,
microsoft.online,0,
microsoft.org,0,
microsoft.pw,95,
microsoft.site,0,
microsoft.top,95,
microsoft.uk,0,
microsoft.xyz,0,
imcrosoft.com,77,
mcirosoft.com,75,
micorsoft.com,77,
microosft.com,95,
microsfot.com,0,
microsotf.com,0,
micrsooft.com,75,
mircosoft.com,0,
microsoftcom.com,75,
mecrosoft.com,75,
micrasoft.com,92,
micresoft.com,95,
microsaft.com,0,
microseft.com,77,
microsuft.com,0,
micrusoft.com,0,
apple0.com,77,
apple1.com,0,
apple2.com,90,
apple3.com,88,
apple4.com,77,
apple5.com,55,
apple6.com,92,
apple7.com,75,
apple8.com,77,
apple9.com,35,
applea.com,92,
appleb.com,75,
applec.com,75,
appled.com,25,
applee.com,92,
applef.com,77,
appleg.com,25,
appleh.com,77,
applei.com,92,
applej.com,95,
applek.com,25,
applel.com,77,
applem.com,55,
applen.com,85,
appleo.com,77,
applep.com,77,
appleq.com,77,
appler.com,77,
apples.com,75,
applet.com,78,
appleu.com,77,
applev.com,77,
applew.com,25,
applex.com,90,
appley.com,75,
applez.com,55,
a0ple.com,75,
ap0le.com,75,
appde.com,0,
apphe.com,88,
appla.com,0,
appld.com,92,
applg.com,75,
applm.com,90,
applu.com,92,
appme.com,0,
appne.com,0,
apqle.com,75,
aprle.com,92,
aptle.com,92,
apxle.com,92,
arple.com,92,
atple.com,75,
axple.com,0,
cpple.com,92,
epple.com,0,
ipple.com,92,
qpple.com,92,
account-apple.com,92,
accountapple.com,25,
apple-account.com,99,
apple-auth.com,80,
apple-connect.com,92,
apple-info.com,35,
apple-login.com,99,
apple-mail.com,0,
apple-my.com,91,
apple-online.com,0,
apple-payment.com,80,
apple-portal.com,75,
apple-recovery.com,80,
apple-secure.com,80,
apple-signin.com,55,
apple-ssl.com,75,
apple-support.com,55,
apple-update.com,85,
apple-verify.com,100,
apple-web.com,25,
appleaccount.com,92,
appleconfirm.com,85,
appleconnect.com,87,
appleinfo.com,77,
applelogin.com,95,
applemail.com,75,
applemy.com,85,
appleonline.com,0,
applepayment.com,80,
appleportal.com,77,
applerecovery.com,77,
appleregister.com,0,
applesafe.com,77,
applesecure.com,80,
applesignin.com,95,
applesupport.com,75,
appleupdate.com,77,
appleuser.com,90,
appleverification.com,80,
appleverify.com,92,
appleweb.com,77,
applewww.com,92,
auth-apple.com,80,
confirm-apple.com,80,
connectapple.com,80,
httpapple.com,75,
info-apple.com,76,
infoapple.com,77,
login-apple.com,99,
loginapple.com,95,
mail-apple.com,100,
mailapple.com,25,
my-apple.com,77,
myapple.com,25,
online-apple.com,85,
onlineapple.com,0,
portalapple.com,77,
recovery-apple.com,65,
recoveryapple.com,55,
registerapple.com,92,
safeapple.com,95,
secure-apple.com,92,
secureapple.com,0,
signin-apple.com,99,
signup-apple.com,92,
ssl-apple.com,92,
sslapple.com,55,
support-apple.com,77,
supportapple.com,99,
update-apple.com,55,
updateapple.com,35,
user-apple.com,25,
verify-apple.com,92,
verifyapple.com,80,
web-apple.com,92,
webapple.com,90,
www-apple.com,75,
wwwapple.com,0,
a-pple.com,92,
ap-ple.com,88,
app-le.com,92,
appl-e.com,0,
a0pple.com,77,
alpple.com,85,
ampple.com,0,
aopple.com,88,
ap0ple.com,92,
aplple.com,88,
apmple.com,92,
apople.com,99,
appkle.com,95,
applke.com,95,
applle.com,0,
apploe.com,88,
applpe.com,88,
appmle.com,92,
appole.com,75,
appple.com,100,
aple.com,0,
appe.com,0,
appl.com,0,
pple.com,0,
aapple.com,0,
1pple.com,92,
2pple.com,77,
alple.com,77,
ample.com,0,
aople.com,55,
aplle.com,100,
apmle.com,0,
apole.com,0,
appke.com,0,
appl3.com,77,
appl4.com,85,
applr.com,75,
appls.com,77,
applw.com,0,
applz.com,95,
appoe.com,88,
apppe.com,0,
spple.com,75,
wpple.com,0,
ypple.com,77,
zpple.com,0,
a.pple.com,0,
app.le.com,0,
apple.app,92,
apple.biz,92,
apple.cn,0,
apple.co,0,
apple.de,0,
apple.eu,0,
apple.ga,55,
apple.gq,0,
apple.info,0,
apple.ml,92,
apple.net,0,
apple.online,75,
apple.org,25,
apple.pw,75,
apple.site,0,
apple.tk,92,
apple.uk,0,
apple.xyz,0,
aplpe.com,85,
appel.com,77,
paple.com,77,
appli.com,0,
applo.com,77,
opple.com,0,
upple.com,0,
wellsfargo0.com,95,
wellsfargo1.com,95,
wellsfargo3.com,95,
wellsfargo5.com,95,
wellsfargo9.com,95,
wellsfargoa.com,95,
wellsfargob.com,95,
wellsfargoc.com,0,
wellsfargod.com,0,
wellsfargoe.com,95,
wellsfargof.com,95,
wellsfargog.com,95,
wellsfargoi.com,95,
wellsfargoj.com,95,
wellsfargok.com,95,
wellsfargol.com,0,
wellsfargon.com,95,
wellsfargoo.com,0,
wellsfargop.com,95,
wellsfargoq.com,95,
wellsfargor.com,95,
wellsfargos.com,95,
wellsfargot.com,95,
wellsfargou.com,96,
wellsfargow.com,95,
wellsfargox.com,95,
wellsfargoz.com,0,
7ellsfargo.com,0,
gellsfargo.com,0,
sellsfargo.com,0,
uellsfargo.com,0,
vellsfargo.com,55,
wallsfargo.com,0,
wdllsfargo.com,88,
wedlsfargo.com,0,
wehlsfargo.com,0,
welhsfargo.com,0,
well3fargo.com,0,
wellcfargo.com,0,
wellqfargo.com,0,
wellsbargo.com,88,
wellsdargo.com,77,
wellsfa2go.com,0,
wellsfabgo.com,0,
wellsfapgo.com,0,
wellsfarco.com,75,
wellsfareo.com,0,
wellsfarfo.com,55,
wellsfargg.com,0,
wellsfargk.com,0,
wellsfargm.com,0,
wellsfargn.com,0,
wellsfaroo.com,0,
wellsfarwo.com,0,
wellsfasgo.com,0,
wellsfavgo.com,0,
wellsfazgo.com,0,
wellsfcrgo.com,0,
wellsfergo.com,55,
wellsfirgo.com,0,
wellsfqrgo.com,0,
wellsgargo.com,55,
wellsnargo.com,0,
wellsvargo.com,0,
wellwfargo.com,0,
welmsfargo.com,0,
welnsfargo.com,0,
wemlsfargo.com,95,
wenlsfargo.com,0,
wgllsfargo.com,0,
wmllsfargo.com,0,
wullsfargo.com,77,
account-wellsfargo.com,92,
auth-wellsfargo.com,92,
connect-wellsfargo.com,75,
connectwellsfargo.com,77,
httpswellsfargo.com,75,
httpwellsfargo.com,0,
info-wellsfargo.com,99,
mail-wellsfargo.com,77,
my-wellsfargo.com,92,
mywellsfargo.com,95,
online-wellsfargo.com,0,
onlinewellsfargo.com,75,
secure-wellsfargo.com,75,
securewellsfargo.com,75,
ssl-wellsfargo.com,92,
updatewellsfargo.com,92,
verifywellsfargo.com,75,
wellsfargo-account.com,92,
wellsfargo-confirm.com,75,
wellsfargo-login.com,0,
wellsfargo-online.com,0,
wellsfargo-portal.com,75,
wellsfargo-secure.com,75,
wellsfargo-update.com,92,
wellsfargoaccount.com,0,
wellsfargoauth.com,85,
wellsfargoconfirm.com,75,
wellsfargoconnect.com,75,
wellsfargoinfo.com,85,
wellsfargologin.com,95,
wellsfargomail.com,0,
wellsfargoonline.com,75,
wellsfargopayment.com,92,
wellsfargosafe.com,0,
wellsfargosecure.com,0,
wellsfargosignin.com,0,
wellsfargossl.com,0,
wellsfargosupport.com,92,
wellsfargoupdate.com,0,
wellsfargoverify.com,92,
wellsfargoweb.com,85,
wellsfargowww.com,92,
www-wellsfargo.com,95,
wwwwellsfargo.com,85,
well-sfargo.com,95,
wells-fargo.com,95,
w3ellsfargo.com,95,
w4ellsfargo.com,88,
we3llsfargo.com,88,
we4llsfargo.com,88,
wedllsfargo.com,95,
wekllsfargo.com,95,
welklsfargo.com,95,
wellasfargo.com,0,
welldsfargo.com,95,
wellesfargo.com,55,
wellksfargo.com,0,
wellosfargo.com,75,
wellpsfargo.com,77,
wellsafargo.com,55,
wellsdfargo.com,92,
wellsefargo.com,0,
wellsfa4rgo.com,0,
wellsfa5rgo.com,0,
wellsfadrgo.com,55,
wellsfaergo.com,92,
wellsfafrgo.com,75,
wellsfaqrgo.com,92,
wellsfar4go.com,0,
wellsfar5go.com,95,
wellsfarbgo.com,88,
wellsfardgo.com,88,
wellsfarego.com,0,
wellsfarfgo.com,0,
wellsfargbo.com,95,
wellsfargfo.com,95,
wellsfargho.com,95,
